Support 	 Itemset 
(0.54) 	 Shampoo, Essentials, Dryer, Kitchen
(0.53) 	 Shampoo, Essentials, Dryer, Kitchen, Wireless Internet
(0.55) 	 Shampoo, Essentials, Dryer, Wireless Internet
(0.65) 	 Shampoo, Essentials, Kitchen
(0.64) 	 Shampoo, Essentials, Kitchen, Wireless Internet
(0.67) 	 Shampoo, Essentials, Wireless Internet
(0.50) 	 Shampoo, Essentials, Internet
(0.59) 	 Shampoo, Washer
(0.58) 	 Shampoo, Washer, Dryer
(0.56) 	 Shampoo, Washer, Dryer, Kitchen
(0.55) 	 Shampoo, Washer, Dryer, Kitchen, Wireless Internet
(0.57) 	 Shampoo, Washer, Dryer, Wireless Internet
(0.57) 	 Shampoo, Washer, Kitchen
(0.57) 	 Shampoo, Washer, Kitchen, Wireless Internet
(0.58) 	 Shampoo, Washer, Wireless Internet
(0.58) 	 Shampoo, Dryer
(0.56) 	 Shampoo, Dryer, Kitchen
(0.56) 	 Shampoo, Dryer, Kitchen, Wireless Internet
(0.58) 	 Shampoo, Dryer, Wireless Internet
(0.68) 	 Shampoo, Kitchen
(0.67) 	 Shampoo, Kitchen, Wireless Internet
(0.51) 	 Shampoo, Kitchen, Wireless Internet, Internet
(0.51) 	 Shampoo, Kitchen, Internet
(0.70) 	 Shampoo, Wireless Internet
(0.52) 	 Shampoo, Wireless Internet, Internet
(0.53) 	 Shampoo, Internet
(0.88) 	 Essentials
(0.72) 	 Essentials, Washer
(0.70) 	 Essentials, Washer, Dryer
(0.68) 	 Essentials, Washer, Dryer, Kitchen
(0.67) 	 Essentials, Washer, Dryer, Kitchen, Wireless Internet
(0.50) 	 Essentials, Washer, Dryer, Kitchen, Internet
(0.69) 	 Essentials, Washer, Dryer, Wireless Internet
(0.51) 	 Essentials, Washer, Dryer, Wireless Internet, Internet
(0.51) 	 Essentials, Washer, Dryer, Internet
(0.70) 	 Essentials, Washer, Kitchen
(0.69) 	 Essentials, Washer, Kitchen, Wireless Internet
(0.51) 	 Essentials, Washer, Kitchen, Wireless Internet, Internet
(0.51) 	 Essentials, Washer, Kitchen, Internet
(0.71) 	 Essentials, Washer, Wireless Internet
(0.52) 	 Essentials, Washer, Wireless Internet, Internet
(0.52) 	 Essentials, Washer, Internet
(0.71) 	 Essentials, Dryer
(0.69) 	 Essentials, Dryer, Kitchen
(0.68) 	 Essentials, Dryer, Kitchen, Wireless Internet
(0.50) 	 Essentials, Dryer, Kitchen, Wireless Internet, Internet
(0.50) 	 Essentials, Dryer, Kitchen, Internet
(0.70) 	 Essentials, Dryer, Wireless Internet
(0.51) 	 Essentials, Dryer, Wireless Internet, Internet
(0.52) 	 Essentials, Dryer, Internet
(0.84) 	 Essentials, Kitchen
(0.83) 	 Essentials, Kitchen, Wireless Internet
(0.60) 	 Essentials, Kitchen, Wireless Internet, Internet
(0.60) 	 Essentials, Kitchen, Internet
(0.87) 	 Essentials, Wireless Internet
(0.50) 	 Essentials, Wireless Internet, Family/kid friendly
(0.62) 	 Essentials, Wireless Internet, Internet
(0.51) 	 Essentials, Family/kid friendly
(0.63) 	 Essentials, Internet
(0.80) 	 Washer
(0.78) 	 Washer, Dryer
(0.76) 	 Washer, Dryer, Kitchen
(0.75) 	 Washer, Dryer, Kitchen, Wireless Internet
(0.55) 	 Washer, Dryer, Kitchen, Wireless Internet, Internet
(0.55) 	 Washer, Dryer, Kitchen, Internet
(0.77) 	 Washer, Dryer, Wireless Internet
(0.57) 	 Washer, Dryer, Wireless Internet, Internet
(0.57) 	 Washer, Dryer, Internet
(0.78) 	 Washer, Kitchen
(0.77) 	 Washer, Kitchen, Wireless Internet
(0.57) 	 Washer, Kitchen, Wireless Internet, Internet
(0.57) 	 Washer, Kitchen, Internet
(0.79) 	 Washer, Wireless Internet
(0.58) 	 Washer, Wireless Internet, Internet
(0.58) 	 Washer, Internet
(0.79) 	 Dryer
(0.76) 	 Dryer, Kitchen
(0.75) 	 Dryer, Kitchen, Wireless Internet
(0.56) 	 Dryer, Kitchen, Wireless Internet, Internet
(0.56) 	 Dryer, Kitchen, Internet
(0.78) 	 Dryer, Wireless Internet
(0.57) 	 Dryer, Wireless Internet, Internet
(0.57) 	 Dryer, Internet
(0.95) 	 Kitchen
(0.93) 	 Kitchen, Wireless Internet
(0.53) 	 Kitchen, Wireless Internet, Family/kid friendly
(0.67) 	 Kitchen, Wireless Internet, Internet
(0.54) 	 Kitchen, Family/kid friendly
(0.68) 	 Kitchen, Internet
(0.98) 	 Wireless Internet
(0.55) 	 Wireless Internet, Family/kid friendly
(0.70) 	 Wireless Internet, Internet
(0.56) 	 Family/kid friendly
(0.70) 	 Internet
